"doi","measure","count","tweet"
"10.1097/ACM.0000000000000873","one_hft",0,1
"10.1097/ACM.0000000000000887","one_hft",1,1
"10.1097/ACM.0000000000000921","one_hft",0,1
"10.1097/ACM.0000000000000933","one_hft",0,1
"10.1097/ACM.0000000000000939","one_hft",5,1
"10.1097/ACM.0000000000000954","one_hft",0,1
"10.1097/ACM.0000000000000960","one_hft",1,1
"10.1097/ACM.0000000000000970","one_hft",0,1
"10.1097/ACM.0000000000000437","seven_hft",1,1
"10.1097/ACM.0000000000000440","seven_hft",0,1
"10.1097/ACM.0000000000000449","seven_hft",6,1
"10.1097/ACM.0000000000000465","seven_hft",0,1
"10.1097/ACM.0000000000000499","seven_hft",4,1
"10.1097/ACM.0000000000000506","seven_hft",6,1
"10.1097/ACM.0000000000000521","seven_hft",1,1
"10.1097/ACM.0000000000000522","seven_hft",1,1
"10.1097/ACM.0000000000000524","seven_hft",0,1
"10.1097/ACM.0000000000000525","seven_hft",0,1
"10.1097/ACM.0000000000000528","seven_hft",0,1
"10.1097/ACM.0000000000000529","seven_hft",6,1
"10.1097/ACM.0000000000000535","seven_hft",1,1
"10.1097/ACM.0000000000000541","seven_hft",0,1
"10.1097/ACM.0000000000000543","seven_hft",1,1
"10.1097/ACM.0000000000000547","seven_hft",1,1
"10.1097/ACM.0000000000000550","seven_hft",1,1
"10.1097/ACM.0000000000000551","seven_hft",2,1
"10.1097/ACM.0000000000000553","seven_hft",0,1
"10.1097/ACM.0000000000000562","seven_hft",1,1
"10.1097/ACM.0000000000000564","seven_hft",2,1
"10.1097/ACM.0000000000000578","seven_hft",1,1
"10.1097/ACM.0000000000000579","seven_hft",1,1
"10.1097/ACM.0000000000000581","seven_hft",1,1
"10.1097/ACM.0000000000000583","seven_hft",2,1
"10.1097/ACM.0000000000000586","seven_hft",6,1
"10.1097/ACM.0000000000000588","seven_hft",0,1
"10.1097/ACM.0000000000000590","seven_hft",2,1
"10.1097/ACM.0000000000000591","seven_hft",0,1
"10.1097/ACM.0000000000000592","seven_hft",3,1
"10.1097/ACM.0000000000000594","seven_hft",1,1
"10.1097/ACM.0000000000000606","seven_hft",1,1
"10.1097/ACM.0000000000000610","seven_hft",14,1
"10.1097/ACM.0000000000000612","seven_hft",1,1
"10.1097/ACM.0000000000000616","seven_hft",1,1
"10.1097/ACM.0000000000000617","seven_hft",0,1
"10.1097/ACM.0000000000000619","seven_hft",3,1
"10.1097/ACM.0000000000000631","seven_hft",0,1
"10.1097/ACM.0000000000000632","seven_hft",0,1
"10.1097/ACM.0000000000000633","seven_hft",1,1
"10.1097/ACM.0000000000000640","seven_hft",2,1
"10.1097/ACM.0000000000000646","seven_hft",74,1
"10.1097/ACM.0000000000000648","seven_hft",0,1
"10.1097/ACM.0000000000000649","seven_hft",1,1
"10.1097/ACM.0000000000000650","seven_hft",1,1
"10.1097/ACM.0000000000000655","seven_hft",3,1
"10.1097/ACM.0000000000000658","seven_hft",0,1
"10.1097/ACM.0000000000000661","seven_hft",8,1
"10.1097/ACM.0000000000000674","seven_hft",1,1
"10.1097/ACM.0000000000000675","seven_hft",2,1
"10.1097/ACM.0000000000000679","seven_hft",3,1
"10.1097/ACM.0000000000000680","seven_hft",0,1
"10.1097/ACM.0000000000000681","seven_hft",2,1
"10.1097/ACM.0000000000000683","seven_hft",0,1
"10.1097/ACM.0000000000000685","seven_hft",0,1
"10.1097/ACM.0000000000000686","seven_hft",0,1
"10.1097/ACM.0000000000000701","seven_hft",2,1
"10.1097/ACM.0000000000000704","seven_hft",0,1
"10.1097/ACM.0000000000000705","seven_hft",0,1
"10.1097/ACM.0000000000000714","seven_hft",3,1
"10.1097/ACM.0000000000000716","seven_hft",1,1
"10.1097/ACM.0000000000000718","seven_hft",3,1
"10.1097/ACM.0000000000000719","seven_hft",2,1
"10.1097/ACM.0000000000000734","seven_hft",16,1
"10.1097/ACM.0000000000000736","seven_hft",3,1
"10.1097/ACM.0000000000000755","seven_hft",0,1
"10.1097/ACM.0000000000000763","seven_hft",0,1
"10.1097/ACM.0000000000000766","seven_hft",0,1
"10.1097/ACM.0000000000000768","seven_hft",0,1
"10.1097/ACM.0000000000000773","seven_hft",0,1
"10.1097/ACM.0000000000000777","seven_hft",4,1
"10.1097/ACM.0000000000000779","seven_hft",1,1
"10.1097/ACM.0000000000000786","seven_hft",5,1
"10.1097/ACM.0000000000000792","seven_hft",1,1
"10.1097/ACM.0000000000000794","seven_hft",3,1
"10.1097/ACM.0000000000000801","seven_hft",9,1
"10.1097/ACM.0000000000000803","seven_hft",7,1
"10.1097/ACM.0000000000000806","seven_hft",0,1
"10.1097/ACM.0000000000000809","seven_hft",13,1
"10.1097/ACM.0000000000000822","seven_hft",6,1
"10.1097/ACM.0000000000000828","seven_hft",0,1
"10.1097/ACM.0000000000000829","seven_hft",1,1
"10.1097/ACM.0000000000000842","seven_hft",1,1
"10.1097/ACM.0000000000000846","seven_hft",0,1
"10.1097/ACM.0000000000000857","seven_hft",0,1
"10.1097/ACM.0000000000000860","seven_hft",0,1
"10.1097/ACM.0000000000000873","seven_hft",0,1
"10.1097/ACM.0000000000000887","seven_hft",1,1
"10.1097/ACM.0000000000000921","seven_hft",2,1
"10.1097/ACM.0000000000000933","seven_hft",1,1
"10.1097/ACM.0000000000000939","seven_hft",9,1
"10.1097/ACM.0000000000000954","seven_hft",0,1
"10.1097/ACM.0000000000000960","seven_hft",3,1
"10.1097/ACM.0000000000000970","seven_hft",2,1
"10.1097/ACM.0000000000000437","thirty_hft",9,1
"10.1097/ACM.0000000000000440","thirty_hft",0,1
"10.1097/ACM.0000000000000449","thirty_hft",26,1
"10.1097/ACM.0000000000000465","thirty_hft",5,1
"10.1097/ACM.0000000000000499","thirty_hft",12,1
"10.1097/ACM.0000000000000506","thirty_hft",9,1
"10.1097/ACM.0000000000000521","thirty_hft",1,1
"10.1097/ACM.0000000000000522","thirty_hft",12,1
"10.1097/ACM.0000000000000524","thirty_hft",0,1
"10.1097/ACM.0000000000000525","thirty_hft",2,1
"10.1097/ACM.0000000000000528","thirty_hft",2,1
"10.1097/ACM.0000000000000529","thirty_hft",18,1
"10.1097/ACM.0000000000000535","thirty_hft",2,1
"10.1097/ACM.0000000000000541","thirty_hft",1,1
"10.1097/ACM.0000000000000543","thirty_hft",5,1
"10.1097/ACM.0000000000000547","thirty_hft",2,1
"10.1097/ACM.0000000000000550","thirty_hft",1,1
"10.1097/ACM.0000000000000551","thirty_hft",2,1
"10.1097/ACM.0000000000000553","thirty_hft",0,1
"10.1097/ACM.0000000000000562","thirty_hft",2,1
"10.1097/ACM.0000000000000564","thirty_hft",6,1
"10.1097/ACM.0000000000000578","thirty_hft",8,1
"10.1097/ACM.0000000000000579","thirty_hft",5,1
"10.1097/ACM.0000000000000581","thirty_hft",7,1
"10.1097/ACM.0000000000000583","thirty_hft",3,1
"10.1097/ACM.0000000000000586","thirty_hft",14,1
"10.1097/ACM.0000000000000588","thirty_hft",1,1
"10.1097/ACM.0000000000000590","thirty_hft",2,1
"10.1097/ACM.0000000000000591","thirty_hft",7,1
"10.1097/ACM.0000000000000592","thirty_hft",10,1
"10.1097/ACM.0000000000000594","thirty_hft",11,1
"10.1097/ACM.0000000000000606","thirty_hft",5,1
"10.1097/ACM.0000000000000610","thirty_hft",41,1
"10.1097/ACM.0000000000000612","thirty_hft",3,1
"10.1097/ACM.0000000000000616","thirty_hft",5,1
"10.1097/ACM.0000000000000617","thirty_hft",0,1
"10.1097/ACM.0000000000000619","thirty_hft",6,1
"10.1097/ACM.0000000000000631","thirty_hft",4,1
"10.1097/ACM.0000000000000632","thirty_hft",2,1
"10.1097/ACM.0000000000000633","thirty_hft",13,1
"10.1097/ACM.0000000000000640","thirty_hft",2,1
"10.1097/ACM.0000000000000646","thirty_hft",614,1
"10.1097/ACM.0000000000000648","thirty_hft",1,1
"10.1097/ACM.0000000000000649","thirty_hft",6,1
"10.1097/ACM.0000000000000650","thirty_hft",1,1
"10.1097/ACM.0000000000000655","thirty_hft",10,1
"10.1097/ACM.0000000000000658","thirty_hft",1,1
"10.1097/ACM.0000000000000661","thirty_hft",8,1
